NIM,Angkatan,Semester,IPK,SKS_Lulus,Mengulang,Absensi,Status_Pembayaran,Status_DO
20220001,2023,4,2.02,129,4,96,0,1
20220002,2021,6,2.58,47,1,77,0,0
20220003,2023,4,2.28,63,2,60,1,1
20220004,2023,5,1.83,47,2,80,0,1
20220005,2021,6,2.52,122,2,87,0,0
20220006,2021,4,1.98,87,3,75,0,1
20220007,2023,8,2.31,69,4,87,1,1
20220008,2022,5,1.99,97,0,81,0,1
20220009,2023,2,2.0,125,0,78,0,1
20220010,2023,8,2.2,94,2,60,1,1
20220011,2023,5,3.8,112,4,90,1,0
20220012,2023,7,1.8,101,1,93,1,0
20220013,2021,6,3.08,87,0,99,0,0
20220014,2023,3,2.08,43,2,65,0,1
20220015,2022,2,3.64,76,0,87,0,0
20220016,2021,8,1.99,47,0,62,0,1
20220017,2022,8,3.71,40,0,90,0,1
20220018,2022,4,3.02,131,2,75,0,0
20220019,2022,6,1.8,109,2,76,1,0
20220020,2022,3,3.59,86,3,86,0,1
20220021,2021,5,2.84,139,3,83,0,1
20220022,2021,3,2.33,114,3,79,1,1
20220023,2022,6,3.33,44,0,91,1,0
20220024,2022,6,3.65,89,4,94,0,1
20220025,2021,7,2.77,63,2,72,0,1
20220026,2021,7,2.43,86,3,79,1,0
20220027,2021,3,3.38,57,4,61,0,1
20220028,2023,5,3.16,123,3,63,1,1
20220029,2023,3,3.58,67,3,86,1,1
20220030,2023,6,3.19,116,4,84,0,1
20220031,2022,6,2.29,44,3,63,1,1
20220032,2023,4,3.66,69,0,91,0,0
20220033,2022,7,2.01,40,0,76,1,0
20220034,2022,4,2.34,125,0,60,1,1
20220035,2023,2,2.84,121,1,92,1,0
20220036,2022,6,2.93,85,3,89,0,1
20220037,2023,4,1.83,108,1,64,0,1
20220038,2023,3,3.36,70,2,71,0,1
20220039,2021,7,2.52,109,4,97,0,1
20220040,2023,7,2.61,130,2,91,0,0
20220041,2021,5,3.42,95,1,97,0,0
20220042,2023,3,2.56,128,0,76,1,0
20220043,2023,5,1.89,132,3,99,1,1
20220044,2021,4,2.15,67,3,91,0,1
20220045,2021,8,3.71,55,0,83,0,0
20220046,2023,2,1.94,93,3,71,0,1
20220047,2022,3,2.51,92,4,90,1,1
20220048,2021,3,2.81,51,4,78,0,1
20220049,2022,3,2.79,59,4,88,0,1
20220050,2022,5,1.81,121,2,80,0,1
20220051,2022,4,2.8,73,0,85,1,0
20220052,2021,3,2.57,92,4,87,1,0
20220053,2022,8,3.74,103,1,76,1,0
20220054,2021,3,2.12,62,4,68,1,1
20220055,2022,7,2.51,66,2,80,0,0
20220056,2023,2,2.64,56,1,93,0,0
20220057,2023,7,2.58,87,0,70,0,1
20220058,2021,7,3.13,60,0,79,1,0
20220059,2023,2,2.23,89,4,98,0,1
20220060,2023,8,2.24,79,1,75,1,0
20220061,2022,4,3.26,134,1,88,0,1
20220062,2021,7,2.8,42,4,60,0,1
20220063,2022,4,2.63,56,4,77,0,1
20220064,2022,7,2.14,100,3,81,0,1
20220065,2022,6,2.18,89,3,67,1,1
20220066,2022,2,1.82,129,4,66,1,1
20220067,2022,7,1.98,126,2,84,1,0
20220068,2022,6,2.91,45,3,89,0,1
20220069,2022,5,3.58,67,4,93,1,0
20220070,2021,6,2.37,111,1,70,0,1
20220071,2023,3,2.46,94,3,74,0,1
20220072,2022,7,2.03,97,2,94,0,1
20220073,2022,6,2.58,84,0,82,0,0
20220074,2022,4,1.87,111,1,80,0,1
20220075,2022,5,3.64,58,2,87,1,0
20220076,2022,8,3.15,68,2,72,1,0
20220077,2022,7,3.78,62,2,93,0,0
20220078,2023,3,3.57,71,1,97,0,0
20220079,2023,8,2.75,49,2,65,1,0
20220080,2022,6,2.84,130,0,63,0,1
20220081,2023,8,2.18,88,3,64,1,1
20220082,2021,8,2.72,104,1,99,0,0
20220083,2022,5,3.61,68,2,65,1,0
20220084,2021,8,1.9,98,4,80,0,1
20220085,2021,8,3.53,84,3,87,1,0
20220086,2022,7,2.48,106,1,62,0,1
20220087,2023,5,3.6,90,4,82,0,1
20220088,2021,3,3.68,134,4,67,0,1
20220089,2022,6,3.14,50,2,78,0,0
20220090,2021,5,3.13,125,1,70,0,1
20220091,2021,5,2.71,121,2,69,1,0
20220092,2021,2,3.47,138,0,87,0,1
20220093,2021,5,3.72,45,4,79,0,1
20220094,2023,2,3.35,106,0,87,0,0
20220095,2021,6,3.04,101,2,88,0,0
20220096,2021,8,3.01,44,3,67,1,1
20220097,2021,7,3.5,48,4,78,1,0
20220098,2023,7,2.88,67,3,80,1,1
20220099,2021,6,3.41,122,1,77,0,0
20220100,2021,6,2.82,131,4,68,0,1
20220101,2023,4,1.92,130,0,63,0,1
20220102,2023,8,2.57,116,3,84,0,1
20220103,2023,6,2.69,77,1,93,0,0
20220104,2021,5,2.08,82,4,68,1,1
20220105,2023,7,2.0,60,1,68,1,1
20220106,2023,3,2.87,130,0,77,1,0
20220107,2021,7,1.97,101,4,70,0,1
20220108,2023,2,2.41,85,1,72,1,0
20220109,2021,7,3.29,109,2,97,1,0
20220110,2022,4,3.73,77,4,68,0,1
20220111,2023,8,3.24,88,4,75,1,0
20220112,2022,6,3.79,114,4,63,0,1
20220113,2021,8,3.2,120,4,93,0,1
20220114,2023,6,2.39,78,2,66,0,1
20220115,2021,7,3.14,110,0,74,0,1
20220116,2022,3,3.2,69,2,97,0,0
20220117,2021,3,2.54,60,2,70,1,0
20220118,2023,4,1.84,40,1,91,0,1
20220119,2023,2,3.21,128,3,86,0,1
20220120,2022,7,1.84,71,3,89,1,1
20220121,2021,6,3.06,47,1,76,0,0
20220122,2023,7,2.13,108,2,95,0,1
20220123,2022,4,2.93,69,1,78,1,0
20220124,2023,5,2.81,47,4,66,1,1
20220125,2023,5,1.83,58,1,80,0,1
20220126,2021,4,2.53,98,1,87,1,0
20220127,2023,6,3.0,94,4,62,0,1
20220128,2021,8,3.5,69,3,73,1,1
20220129,2023,4,3.58,118,4,61,1,1
20220130,2022,6,2.77,75,0,88,0,1
20220131,2023,3,3.26,94,1,77,0,0
20220132,2021,4,2.43,83,1,96,0,0
20220133,2021,6,2.48,66,3,83,1,1
20220134,2022,4,2.19,116,2,71,1,1
20220135,2023,4,2.92,117,4,91,1,0
20220136,2023,8,2.43,93,2,77,0,0
20220137,2022,8,1.97,87,0,72,1,1
20220138,2023,6,3.17,69,4,63,0,1
20220139,2023,6,3.22,78,0,82,0,0
20220140,2021,2,2.52,52,0,69,1,1
20220141,2023,4,1.95,55,0,64,1,1
20220142,2023,5,2.65,83,4,99,1,0
20220143,2022,4,2.68,110,4,73,1,1
20220144,2022,4,3.14,66,3,93,1,1
20220145,2021,6,2.43,84,1,87,0,0
20220146,2023,4,3.17,74,2,67,1,0
20220147,2023,7,3.54,118,2,75,0,0
20220148,2023,4,2.27,67,0,90,1,0
20220149,2021,7,3.76,138,4,66,1,1
20220150,2021,8,2.57,46,4,62,0,1
20220151,2022,5,2.33,101,0,88,1,1
20220152,2021,6,2.64,90,1,95,1,0
20220153,2023,4,1.99,85,2,98,0,1
20220154,2023,7,2.05,59,3,63,0,1
20220155,2021,7,2.63,135,1,68,1,0
20220156,2023,8,3.32,77,4,76,1,0
20220157,2023,7,3.6,100,0,79,1,0
20220158,2021,3,3.13,71,2,73,0,1
20220159,2021,2,2.01,65,0,88,1,0
20220160,2023,5,3.14,97,4,72,1,1
20220161,2023,8,3.07,78,0,95,1,0
20220162,2023,8,3.41,59,2,76,0,0
20220163,2022,4,3.45,121,0,63,1,0
20220164,2022,3,3.54,89,2,79,0,0
20220165,2022,4,2.63,118,0,70,0,1
20220166,2021,4,3.2,91,0,81,0,0
20220167,2022,6,2.34,125,2,67,0,1
20220168,2021,6,3.8,61,0,87,0,1
20220169,2021,6,2.15,92,1,89,1,0
20220170,2022,3,1.82,124,3,92,0,1
20220171,2022,4,2.1,105,1,92,1,0
20220172,2022,2,3.35,82,3,95,1,0
20220173,2023,5,2.69,121,1,86,0,0
20220174,2022,6,2.7,62,3,79,0,1
20220175,2023,6,3.71,116,0,92,0,0
20220176,2021,8,3.64,103,2,84,0,0
20220177,2023,4,2.42,48,2,78,1,0
20220178,2022,4,2.22,46,4,80,1,1
20220179,2021,3,3.5,80,3,92,0,1
20220180,2021,3,3.61,93,4,62,0,1
20220181,2021,6,2.88,104,4,73,1,1
20220182,2023,4,3.06,41,3,74,1,1
20220183,2022,2,2.31,43,2,92,0,1
20220184,2021,5,3.4,117,3,81,1,0
20220185,2021,4,3.06,71,0,60,1,0
20220186,2021,8,2.81,139,4,90,1,0
20220187,2023,4,1.92,41,4,94,0,1
20220188,2023,7,3.63,103,3,79,0,1
20220189,2022,3,3.03,53,4,91,1,0
20220190,2023,8,2.19,59,2,71,0,1
20220191,2021,5,3.01,128,4,75,1,0
20220192,2022,6,3.15,88,3,67,1,1
20220193,2021,8,2.85,47,2,73,0,1
20220194,2021,4,3.24,131,2,77,0,0
20220195,2023,6,2.96,102,4,89,1,1
20220196,2022,4,3.7,85,3,92,0,1
20220197,2023,6,1.91,60,4,93,0,1
20220198,2023,5,2.01,126,0,93,0,1
20220199,2022,3,2.15,71,0,66,0,1
20220200,2021,5,3.18,47,2,65,1,0
20220201,2021,7,3.09,134,4,65,1,1
20220202,2022,2,3.58,55,0,81,0,0
20220203,2021,3,3.27,79,1,67,1,0
20220204,2022,5,2.82,66,0,96,0,0
20220205,2022,7,3.78,57,4,74,0,1
20220206,2023,2,2.33,74,4,85,0,1
20220207,2022,7,3.47,91,0,98,1,0
20220208,2023,4,2.65,54,4,62,1,1
20220209,2021,4,3.1,102,4,69,1,1
20220210,2021,6,3.25,92,1,62,0,1
20220211,2021,3,3.07,130,2,89,1,0
20220212,2021,4,2.08,120,4,81,1,1
20220213,2023,8,2.69,105,3,62,0,1
20220214,2021,7,2.92,70,2,60,0,1
20220215,2022,3,3.5,100,2,92,0,0
20220216,2022,8,2.69,103,3,78,0,1
20220217,2022,4,3.64,137,0,95,1,0
20220218,2023,6,2.68,73,1,93,1,0
20220219,2021,5,2.9,94,4,90,0,1
20220220,2021,6,3.39,98,0,83,0,0
20220221,2021,8,2.97,42,3,71,0,1
20220222,2023,2,3.72,56,1,72,0,1
20220223,2022,4,3.12,117,1,75,1,0
20220224,2022,8,2.85,117,1,75,0,0
20220225,2021,2,1.85,85,3,79,0,1
20220226,2022,2,2.63,77,0,86,1,0
20220227,2022,7,2.4,74,4,98,0,1
20220228,2023,3,3.3,40,1,72,0,1
20220229,2023,7,2.22,68,1,63,0,1
20220230,2023,4,2.21,43,0,91,0,1
20220231,2023,2,2.18,100,1,99,0,1
20220232,2021,8,2.05,136,1,93,1,0
20220233,2023,5,2.42,56,3,98,1,0
20220234,2022,2,3.57,67,2,76,1,0
20220235,2021,8,3.35,89,0,83,1,0
20220236,2022,5,3.27,129,0,88,0,0
20220237,2022,7,3.39,47,0,87,0,0
20220238,2022,7,2.34,73,3,81,0,1
20220239,2023,3,3.57,98,3,87,0,1
20220240,2023,8,2.07,57,4,84,0,1
20220241,2021,2,2.47,134,3,62,0,1
20220242,2021,6,2.97,98,0,72,1,1
20220243,2023,7,2.01,66,4,90,0,1
20220244,2022,7,3.26,55,2,72,0,1
20220245,2021,3,2.57,49,1,77,1,0
20220246,2023,5,3.37,115,1,96,1,0
20220247,2023,3,2.79,61,4,93,0,1
20220248,2023,2,2.16,55,2,76,1,0
20220249,2022,8,3.27,51,1,80,1,0
20220250,2023,4,2.3,114,4,95,0,1
20220251,2023,4,2.78,123,3,99,0,1
20220252,2023,8,1.95,90,0,78,1,0
20220253,2023,5,3.04,40,2,71,1,0
20220254,2021,7,3.13,66,1,87,1,0
20220255,2021,5,2.56,106,0,70,1,0
20220256,2023,7,3.71,51,4,96,1,0
20220257,2022,7,3.55,69,1,87,1,0
20220258,2021,4,3.22,48,0,94,0,0
20220259,2023,5,3.23,92,3,74,0,1
20220260,2021,3,2.3,100,2,75,1,0
20220261,2021,7,3.11,93,4,66,1,1
20220262,2022,6,2.2,76,1,62,0,1
20220263,2023,6,2.09,104,3,90,1,1
20220264,2023,3,3.8,81,2,71,0,1
20220265,2022,6,3.04,88,2,67,1,0
20220266,2022,2,2.66,43,3,84,1,0
20220267,2023,7,2.38,103,1,94,1,1
20220268,2023,3,3.01,118,2,71,1,0
20220269,2022,5,1.9,90,4,80,0,1
20220270,2021,7,1.99,130,0,85,0,1
20220271,2021,3,1.87,111,4,61,0,1
20220272,2022,4,2.8,99,2,73,0,1
20220273,2021,5,3.0,126,0,63,1,0
20220274,2022,4,1.92,118,3,76,0,1
20220275,2021,7,3.24,130,0,64,0,1
20220276,2021,5,2.26,70,0,83,0,1
20220277,2023,6,3.17,111,0,66,1,0
20220278,2023,3,3.76,133,2,82,1,0
20220279,2021,7,3.18,97,1,76,1,0
20220280,2021,2,3.57,121,2,71,1,0
20220281,2023,5,3.7,43,1,70,1,0
20220282,2023,5,2.77,61,3,70,0,1
20220283,2023,8,3.2,42,3,93,0,1
20220284,2022,7,3.5,118,3,96,0,1
20220285,2021,7,2.51,138,3,88,0,1
20220286,2023,4,2.32,86,3,95,1,1
20220287,2021,8,3.69,77,4,86,0,1
20220288,2022,6,3.25,72,2,81,1,0
20220289,2022,4,2.24,117,1,61,1,1
20220290,2023,8,2.7,87,3,95,0,1
20220291,2022,4,3.39,104,4,89,0,1
20220292,2021,6,2.89,65,4,66,0,1
20220293,2023,8,3.1,47,4,71,0,1
20220294,2021,8,3.31,89,2,62,0,1
20220295,2021,2,3.04,119,3,76,1,0
20220296,2022,4,2.88,77,4,91,0,1
20220297,2022,4,3.3,49,4,67,1,1
20220298,2022,5,3.26,81,3,82,1,0
20220299,2022,6,3.06,76,2,97,0,1
20220300,2022,3,2.52,65,4,89,1,0
20220301,2023,2,2.61,131,1,74,1,0
20220302,2021,8,3.74,51,0,69,1,0
20220303,2021,8,2.02,123,0,97,1,0
20220304,2021,8,2.34,88,0,74,1,1
20220305,2021,2,2.78,53,2,89,0,0
20220306,2022,8,3.47,85,4,85,0,1
20220307,2021,8,2.13,74,0,73,0,1
20220308,2023,6,2.35,68,0,62,1,1
20220309,2023,7,1.93,51,3,95,1,1
20220310,2021,7,3.21,121,4,85,0,1
20220311,2021,5,2.28,83,4,73,1,1
20220312,2023,5,2.58,105,3,90,1,0
20220313,2023,8,2.69,41,4,73,1,1
20220314,2022,6,3.58,98,1,99,1,0
20220315,2023,8,2.62,56,2,69,1,0
20220316,2022,5,2.09,49,3,68,0,1
20220317,2022,2,2.85,57,0,99,0,1
20220318,2022,2,3.73,61,4,77,1,0
20220319,2022,3,3.02,122,1,95,0,0
20220320,2022,7,3.77,97,1,95,0,0
20220321,2021,6,3.48,92,2,71,1,0
20220322,2023,4,1.87,40,1,99,0,1
20220323,2022,7,3.12,127,4,62,0,1
20220324,2023,4,2.37,100,4,77,1,1
20220325,2023,3,2.92,139,1,66,0,1
20220326,2022,3,2.36,128,4,90,1,1
20220327,2021,8,2.5,139,4,60,0,1
20220328,2022,5,3.65,70,0,90,0,0
20220329,2021,3,2.21,70,3,72,0,1
20220330,2023,3,3.55,105,4,88,0,1
20220331,2021,4,1.86,58,4,62,1,1
20220332,2021,5,1.98,92,2,88,1,1
20220333,2021,3,3.51,115,3,94,0,1
20220334,2023,7,3.06,113,3,74,1,1
20220335,2023,3,3.29,134,3,80,1,0
20220336,2021,5,2.22,61,1,78,0,1
20220337,2021,8,2.87,62,0,87,0,0
20220338,2022,6,3.27,126,0,63,1,0
20220339,2021,5,3.05,54,2,72,1,0
20220340,2022,4,2.74,65,3,74,1,1
20220341,2021,6,3.72,42,3,98,1,0
20220342,2022,7,3.15,126,4,91,0,1
20220343,2023,2,3.62,59,1,62,1,0
20220344,2021,5,3.26,79,1,89,1,0
20220345,2021,8,3.27,78,2,79,1,0
20220346,2021,4,1.96,111,0,61,0,1
